,theta_z,m_x(²î)
1,0.3 ,0 
2,0.1 ,0 
3,0.6 ,0 
4,0.3 ,-1 
5,0.0 ,0 
6,0.8 ,-1 
7,0.2 ,0 
8,0.4 ,0 
9,0.7 ,1 
10,0.4 ,-1 
11,0.7 ,1 
12,0.4 ,1 
13,0.7 ,0 
14,0.7 ,0 
15,0.4 ,0 
16,0.0 ,0 
17,0.3 ,0 
18,0.4 ,0 
19,0.3 ,1 
20,0.2 ,1 
21,0.8 ,0 
22,0.4 ,0 
23,0.9 ,1 
24,0.4 ,0 
25,0.8 ,0 
26,0.4 ,1 
27,0.8 ,1 
28,0.8 ,0 
29,0.4 ,0 
30,0.2 ,0 
31,0.8 ,-1 
32,0.9 ,0 
33,0.3 ,0 
34,0.7 ,-1 
35,0.4 ,1 
36,0.8 ,-1 
37,0.8 ,-1 
38,0.2 ,-1 
39,0.9 ,-1 
40,1.0 ,0 
41,0.5 ,0 
42,0.9 ,1 
43,0.6 ,0 
44,0.2 ,-1 
45,0.2 ,1 
46,0.4 ,1 
47,0.7 ,0 
48,0.8 ,-1 
49,0.8 ,0 
50,0.3 ,0 
51,0.5 ,0 
52,0.1 ,0 
53,0.1 ,0 
54,0.1 ,0 
55,0.7 ,-1 
56,-0.8 ,-1 
57,-0.2 ,0 
58,0.7 ,0 
59,0.1 ,0 
60,0.1 ,0 
61,0.9 ,-1 
62,0.6 ,0 
63,0.9 ,1 
64,0.7 ,-1 
65,0.6 ,1 
66,0.8 ,0 
67,0.9 ,0 
68,1.0 ,0 
69,0.0 ,-1 
70,0.9 ,0 
71,0.6 ,1 
72,1.0 ,0 
73,0.5 ,0 
74,0.5 ,-1 
75,0.8 ,0 
76,0.2 ,0 
77,0.5 ,0 
78,0.9 ,0 
79,0.6 ,0 
80,0.8 ,1 
81,0.7 ,-1 
82,0.6 ,1 
83,0.2 ,1 
84,0.7 ,1 
85,0.1 ,-1 
86,0.6 ,0 
87,0.7 ,0 
88,0.7 ,0 
89,0.9 ,-1 
90,1.0 ,0 
91,0.8 ,-1 
92,0.6 ,0 
93,0.9 ,0 
94,0.6 ,1 
95,0.0 ,0 
96,0.1 ,1 
97,0.9 ,1 
98,0.5 ,0 
99,0.8 ,0 
100,0.2 ,-1 
101,0.6 ,-1 
102,0.6 ,0 
103,0.0 ,0 
104,0.9 ,0 
105,0.8 ,1 
106,0.9 ,-1 
107,0.0 ,0 
108,0.9 ,0 
109,0.0 ,1 
110,1.0 ,-1 
111,1.0 ,-2 
112,1.0 ,-2 
113,1.0 ,0 
114,1.0 ,-1 
115,1.0 ,-1 
116,1.0 ,-2 
117,1.0 ,1 
118,1.0 ,-1 
119,1.0 ,-1 
120,1.0 ,-1 
121,1.0 ,-2 
122,1.0 ,-1 
123,1.0 ,-1 
124,1.0 ,-1 
125,1.0 ,-1 
126,1.0 ,-2 
127,1.0 ,0 
128,1.0 ,0 
129,1.0 ,-1 
130,1.0 ,-2 
131,1.0 ,0 
132,1.0 ,-1 
133,1.0 ,0 
134,1.0 ,-1 
135,1.0 ,0 
136,1.0 ,-1 
137,1.0 ,-1 
138,1.0 ,0 
139,1.0 ,-1 
140,1.0 ,-1 
141,1.0 ,-1 
142,1.0 ,-1 
143,1.0 ,1 
144,1.0 ,1 
145,1.0 ,-1 
146,1.0 ,0 
147,1.0 ,0 
148,1.0 ,-1 
149,1.0 ,-1 
150,1.0 ,-1 
151,1.0 ,-1 
152,1.0 ,-1 
153,1.0 ,-1 
154,1.0 ,0 
155,1.0 ,-2 
156,1.0 ,-2 
157,0.0 ,0 
158,0.0 ,-1 
159,0.0 ,0 
160,0.0 ,1 
161,1.0 ,1 
162,0.9 ,1 
163,0.3 ,-1 
164,0.4 ,0 
165,0.1 ,0 
166,0.2 ,0 
167,0.7 ,0 
168,0.3 ,1 
169,0.9 ,0 
170,0.1 ,1 
171,1.0 ,0 
172,0.5 ,0 
173,0.7 ,0 
174,1.0 ,0 
175,0.3 ,0 
176,0.4 ,0 
177,0.5 ,-1 
178,0.8 ,-1 
179,0.8 ,1 
180,0.1 ,-1 
